match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
hpJGkndD,inglaterra,local,31/36 (86%),Quansah J.Fullback,3,-,6.7,-,-,-,42
hpJGkndD,inglaterra,local,20/22 (91%),Gordon A.Forward,5,0.09,6.6,0/2 (0%),2,4,36
hpJGkndD,inglaterra,local,39/40 (98%),Stones J.Centre back,1,0.09,6.6,-,1,2,41
hpJGkndD,inglaterra,local,11/29 (38%),Crocombe M.Goalkeeper,-,-,6.5,-,-,-,39
hpJGkndD,inglaterra,local,8/8 (100%),Old B.Forward,5,-,6.5,1/1 (100%),-,-,17
hpJGkndD,inglaterra,local,20/21 (95%),Surman F.Centre back,3,-,6.5,-,-,-,37
hpJGkndD,inglaterra,local,5/6 (83%),Toney I.Forward,2,-,6.5,-,-,3,11
hpJGkndD,inglaterra,local,1/1 (100%),De Vries F.Defender,3,-,6.4,-,-,-,7
hpJGkndD,inglaterra,local,15/15 (100%),Trafford J.Goalkeeper,1,-,6.4,-,-,-,19
hpJGkndD,inglaterra,local,1/1 (100%),Barbarouses K.Forward,1,-,6.3,-,-,1,2
hpJGkndD,inglaterra,local,20/21 (95%),Bell J.Midfielder,-,-,6.3,-,-,-,26
hpJGkndD,inglaterra,local,15/17 (88%),Cacace L.Fullback,9,-,6.3,0/1 (0%),-,-,33
hpJGkndD,inglaterra,local,25/27 (93%),O'Reilly N.Midfielder,5,-,6.3,-,-,1,32
hpJGkndD,inglaterra,local,5/7 (71%),Bindon T.Defender,3,-,6.2,0/1 (0%),-,-,15
hpJGkndD,inglaterra,local,4/8 (50%),Garbett M.Winger,7,0.02,6.2,1/3 (33%),1,1,18
hpJGkndD,inglaterra,local,6/7 (86%),Randall J.Forward,2,-,6.2,-,-,-,10
hpJGkndD,inglaterra,local,10/12 (83%),Rufer A.Midfielder,5,-,6.2,-,-,-,14
hpJGkndD,inglaterra,local,25/29 (86%),Stamenic M.Midfielder,2,-,6.1,1/1 (100%),-,-,38
hpJGkndD,inglaterra,local,32/34 (94%),Boxall M.Centre back,-,-,5.9,-,-,-,45
hpJGkndD,inglaterra,local,10/13 (77%),Payne T.Fullback,1,-,5.9,-,-,-,18
hpJGkndD,inglaterra,local,10/14 (71%),Just E.Winger,9,-,5.7,1/4 (25%),-,-,27
hpJGkndD,inglaterra,local,12/13 (92%),Wood Ch.Striker,4,-,5.7,1/2 (50%),-,-,18
hpJGkndD,inglaterra,local,12/13 (92%),Singh S.Attacking midfielder,9,0.07,5.1,0/1 (0%),1,1,24
hpJGkndD,inglaterra,local,5/6 (83%),Bayliss L.Midfielder,6,-,-,2/2 (100%),-,1,10
hpJGkndD,inglaterra,local,3/3 (100%),Elliot C.Defender,2,-,-,0/1 (0%),-,-,6
hpJGkndD,inglaterra,local,1/1 (100%),McCowatt C.Midfielder,4,0.03,-,-,1,-,5
hpJGkndD,inglaterra,local,2/3 (67%),Paulsen A.Goalkeeper,-,-,-,-,-,-,5
hpJGkndD,inglaterra,local,1/1 (100%),Pijnaker N.Defender,1,-,-,-,-,-,2
K2zQWa9N,inglaterra,local,19/24 (79%),Kane H.Striker,4,0.86,8.4,1/1 (100%),4,5,40
K2zQWa9N,inglaterra,local,51/58 (88%),Bellingham J.Midfielder,12,0.28,7.8,2/3 (67%),2,4,77
K2zQWa9N,inglaterra,local,69/72 (96%),Quansah J.Fullback,6,0.03,7.8,0/1 (0%),1,2,92
K2zQWa9N,inglaterra,local,12/13 (92%),Henderson D.Goalkeeper,-,-,7.6,-,-,-,20
K2zQWa9N,inglaterra,local,82/89 (92%),Stones J.Centre back,9,-,7.6,-,-,-,104
K2zQWa9N,inglaterra,local,98/102 (96%),Burn D.Centre back,6,-,7.4,-,-,2,114
K2zQWa9N,inglaterra,local,76/83 (92%),O'Reilly N.Fullback,6,-,7.3,2/2 (100%),-,-,97
K2zQWa9N,inglaterra,local,11/11 (100%),Rashford M.Forward,-,0.03,7.2,-,1,3,15
K2zQWa9N,inglaterra,local,52/54 (96%),Anderson E.Midfielder,1,-,7.1,-,-,-,57
K2zQWa9N,inglaterra,local,13/31 (42%),Strakosha T.Goalkeeper,1,-,7.1,-,-,-,41
K2zQWa9N,inglaterra,local,42/46 (91%),Wharton A.Midfielder,5,-,7.1,-,-,1,56
K2zQWa9N,inglaterra,local,24/29 (83%),Rice D.Midfielder,3,0.33,7.0,-,2,2,38
K2zQWa9N,inglaterra,local,17/19 (89%),Bowen J.Winger,10,0.04,6.8,3/4 (75%),1,2,39
K2zQWa9N,inglaterra,local,34/37 (92%),Foden P.Midfielder,1,0.02,6.8,-,1,2,39
K2zQWa9N,inglaterra,local,12/14 (86%),Saka B.Forward,-,0.06,6.7,-,1,3,17
K2zQWa9N,inglaterra,local,2/2 (100%),Broja A.Forward,6,-,6.4,1/3 (33%),-,-,10
K2zQWa9N,inglaterra,local,24/25 (96%),Eze E.Winger,5,0.22,6.4,0/1 (0%),1,2,33
K2zQWa9N,inglaterra,local,2/6 (33%),Hysaj E.Fullback,4,0.03,6.3,-,1,-,12
K2zQWa9N,inglaterra,local,26/30 (87%),Ramadani Y.Midfielder,7,-,6.2,-,-,-,37
K2zQWa9N,inglaterra,local,25/38 (66%),Asllani K.Midfielder,3,-,6.1,-,-,-,51
K2zQWa9N,inglaterra,local,9/14 (64%),Balliu I.Defender,1,-,6.1,-,-,-,26
K2zQWa9N,inglaterra,local,11/16 (69%),Bajrami N.Winger,5,0.01,6.0,0/3 (0%),1,1,26
K2zQWa9N,inglaterra,local,18/20 (90%),Laci Q.Attacking midfielder,9,0.11,6.0,-,1,2,30
K2zQWa9N,inglaterra,local,20/23 (87%),Ismajli A.Centre back,4,-,5.6,-,-,-,32
K2zQWa9N,inglaterra,local,12/15 (80%),Uzuni M.Striker,9,-,5.5,-,-,-,24
K2zQWa9N,inglaterra,local,14/20 (70%),Hoxha A.Winger,13,0.24,5.4,0/3 (0%),2,4,39
K2zQWa9N,inglaterra,local,30/34 (88%),Djimsiti B.Centre back,1,0.10,5.3,-,1,2,44
K2zQWa9N,inglaterra,local,26/33 (79%),Aliji N.Fullback,6,-,5.2,1/2 (50%),-,-,50
K2zQWa9N,inglaterra,local,3/4 (75%),Pajaziti A.Midfielder,-,-,-,-,-,-,4
K2zQWa9N,inglaterra,local,10/10 (100%),Rogers M.Midfielder,1,-,-,-,-,-,12
487OVDPM,inglaterra,local,86/88 (98%),Konsa E.Centre back,9,0.02,8.6,-,1,1,99
487OVDPM,inglaterra,local,80/82 (98%),James R.Fullback,7,-,8.5,1/1 (100%),-,2,96
487OVDPM,inglaterra,local,36/45 (80%),Saka B.Winger,4,0.11,7.7,2/2 (100%),3,7,63
487OVDPM,inglaterra,local,77/82 (94%),Anderson E.Midfielder,15,0.11,7.5,0/1 (0%),2,5,94
487OVDPM,inglaterra,local,10/10 (100%),Foden P.Midfielder,4,0.13,7.5,0/1 (0%),2,3,19
487OVDPM,inglaterra,local,75/78 (96%),Stones J.Centre back,4,-,7.5,-,-,-,83
487OVDPM,inglaterra,local,10/14 (71%),Eze E.Midfielder,5,0.50,7.4,1/4 (25%),2,5,20
